Parameter,Value
dot_x,702
dot_y,369
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:03:58.505Z
group_id,capture-1757613838504-1757613838504
capture_method,html2canvas
face_detected,True
pitch,0.148
yaw,-0.286
roll,0.035
face_min_position_x,261
face_min_position_y,139
face_max_position_x,346
face_max_position_y,257
left_eye_box_min_x,310
left_eye_box_min_y,180
left_eye_box_max_x,339
left_eye_box_max_y,199
right_eye_box_min_x,280
right_eye_box_min_y,182
right_eye_box_max_x,309
right_eye_box_max_y,197
left_iris_center_x,324
left_iris_center_y,189
right_iris_center_x,294
right_iris_center_y,189
left_iris_box_min_x,320
left_iris_box_min_y,185
left_iris_box_max_x,329
left_iris_box_max_y,193
right_iris_box_min_x,289
right_iris_box_min_y,185
right_iris_box_max_x,299
right_iris_box_max_y,194
left_eye_position_x,324
left_eye_position_y,189
right_eye_position_x,294
right_eye_position_y,189
center_between_eyes_x,309
center_between_eyes_y,189
left_eye_state,Open
left_eye_ear,0.268
right_eye_state,Squinting
right_eye_ear,0.236
distance_cm_from_face,89.58
distance_cm_from_eye,90.835
chin_depth,90.47
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:35:48.515187
