Parameter,Value
dot_x,101
dot_y,181
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:09:12.501Z
group_id,capture-1757614152501-1757614152501
capture_method,html2canvas
face_detected,True
pitch,0.038
yaw,-0.647
roll,0.109
face_min_position_x,183
face_min_position_y,101
face_max_position_x,317
face_max_position_y,262
left_eye_box_min_x,274
left_eye_box_min_y,156
left_eye_box_max_x,305
left_eye_box_max_y,179
right_eye_box_min_x,229
right_eye_box_min_y,160
right_eye_box_max_x,268
right_eye_box_max_y,180
left_iris_center_x,289
left_iris_center_y,167
right_iris_center_x,247
right_iris_center_y,169
left_iris_box_min_x,284
left_iris_box_min_y,162
left_iris_box_max_x,295
left_iris_box_max_y,173
right_iris_box_min_x,241
right_iris_box_min_y,163
right_iris_box_max_x,254
right_iris_box_max_y,176
left_eye_position_x,290
left_eye_position_y,168
right_eye_position_x,249
right_eye_position_y,170
center_between_eyes_x,269
center_between_eyes_y,169
left_eye_state,Open
left_eye_ear,0.417
right_eye_state,Open
right_eye_ear,0.313
distance_cm_from_face,64.9
distance_cm_from_eye,67.09
chin_depth,65.7
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:08:17.602501
