Parameter,Value
dot_x,186
dot_y,102
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:50:48.922Z
group_id,capture-1757613048922-1757613048922
capture_method,html2canvas
face_detected,True
pitch,-0.015
yaw,-0.537
roll,0.138
face_min_position_x,397
face_min_position_y,92
face_max_position_x,641
face_max_position_y,373
left_eye_box_min_x,566
left_eye_box_min_y,183
left_eye_box_max_x,610
left_eye_box_max_y,209
right_eye_box_min_x,483
right_eye_box_min_y,191
right_eye_box_max_x,543
right_eye_box_max_y,215
left_iris_center_x,590
left_iris_center_y,195
right_iris_center_x,518
right_iris_center_y,202
left_iris_box_min_x,583
left_iris_box_min_y,188
left_iris_box_max_x,597
left_iris_box_max_y,204
right_iris_box_min_x,509
right_iris_box_min_y,193
right_iris_box_max_x,528
right_iris_box_max_y,211
left_eye_position_x,588
left_eye_position_y,196
right_eye_position_x,514
right_eye_position_y,203
center_between_eyes_x,551
center_between_eyes_y,199
left_eye_state,Open
left_eye_ear,0.39
right_eye_state,Open
right_eye_ear,0.287
distance_cm_from_face,71.03
distance_cm_from_eye,73.125
chin_depth,72.13
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:08:17.124633
