Parameter,Value
dot_x,186
dot_y,423
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:51:02.031Z
group_id,capture-1757613062031-1757613062031
capture_method,html2canvas
face_detected,True
pitch,-0.006
yaw,-0.529
roll,0.129
face_min_position_x,399
face_min_position_y,95
face_max_position_x,639
face_max_position_y,371
left_eye_box_min_x,566
left_eye_box_min_y,183
left_eye_box_max_x,610
left_eye_box_max_y,209
right_eye_box_min_x,484
right_eye_box_min_y,190
right_eye_box_max_x,544
right_eye_box_max_y,214
left_iris_center_x,590
left_iris_center_y,195
right_iris_center_x,519
right_iris_center_y,200
left_iris_box_min_x,583
left_iris_box_min_y,188
left_iris_box_max_x,597
left_iris_box_max_y,203
right_iris_box_min_x,510
right_iris_box_min_y,192
right_iris_box_max_x,529
right_iris_box_max_y,210
left_eye_position_x,588
left_eye_position_y,196
right_eye_position_x,516
right_eye_position_y,202
center_between_eyes_x,552
center_between_eyes_y,199
left_eye_state,Open
left_eye_ear,0.39
right_eye_state,Open
right_eye_ear,0.27
distance_cm_from_face,71.71
distance_cm_from_eye,73.825
chin_depth,72.83
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:08:17.350510
