Parameter,Value
dot_x,1393
dot_y,759
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:04:11.789Z
group_id,capture-1757613851788-1757613851788
capture_method,html2canvas
face_detected,True
pitch,0.146
yaw,-0.533
roll,0.092
face_min_position_x,171
face_min_position_y,71
face_max_position_x,316
face_max_position_y,241
left_eye_box_min_x,267
left_eye_box_min_y,131
left_eye_box_max_x,301
left_eye_box_max_y,152
right_eye_box_min_x,217
right_eye_box_min_y,136
right_eye_box_max_x,259
right_eye_box_max_y,153
left_iris_center_x,284
left_iris_center_y,141
right_iris_center_x,239
right_iris_center_y,144
left_iris_box_min_x,279
left_iris_box_min_y,136
left_iris_box_max_x,290
left_iris_box_max_y,147
right_iris_box_min_x,233
right_iris_box_min_y,138
right_iris_box_max_x,246
right_iris_box_max_y,150
left_eye_position_x,284
left_eye_position_y,141
right_eye_position_x,239
right_eye_position_y,145
center_between_eyes_x,261
center_between_eyes_y,143
left_eye_state,Open
left_eye_ear,0.294
right_eye_state,Squinting
right_eye_ear,0.234
distance_cm_from_face,57.45
distance_cm_from_eye,59.68
chin_depth,58.24
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:35:48.639382
