Parameter,Value
dot_x,773
dot_y,102
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:50:53.293Z
group_id,capture-1757613053293-1757613053293
capture_method,html2canvas
face_detected,True
pitch,0.024
yaw,-0.535
roll,0.108
face_min_position_x,401
face_min_position_y,93
face_max_position_x,638
face_max_position_y,374
left_eye_box_min_x,566
left_eye_box_min_y,186
left_eye_box_max_x,609
left_eye_box_max_y,210
right_eye_box_min_x,485
right_eye_box_min_y,191
right_eye_box_max_x,543
right_eye_box_max_y,214
left_iris_center_x,588
left_iris_center_y,197
right_iris_center_x,519
right_iris_center_y,202
left_iris_box_min_x,582
left_iris_box_min_y,190
left_iris_box_max_x,596
left_iris_box_max_y,205
right_iris_box_min_x,510
right_iris_box_min_y,194
right_iris_box_max_x,528
right_iris_box_max_y,211
left_eye_position_x,587
left_eye_position_y,198
right_eye_position_x,515
right_eye_position_y,203
center_between_eyes_x,551
center_between_eyes_y,200
left_eye_state,Open
left_eye_ear,0.325
right_eye_state,Open
right_eye_ear,0.265
distance_cm_from_face,73.06
distance_cm_from_eye,75.215
chin_depth,74.21
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:08:17.198132
