Parameter,Value
dot_x,399
dot_y,613
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:09:19.162Z
group_id,capture-1757614159162-1757614159162
capture_method,html2canvas
face_detected,True
pitch,0.027
yaw,-0.667
roll,0.07
face_min_position_x,185
face_min_position_y,104
face_max_position_x,317
face_max_position_y,262
left_eye_box_min_x,276
left_eye_box_min_y,158
left_eye_box_max_x,306
left_eye_box_max_y,181
right_eye_box_min_x,231
right_eye_box_min_y,161
right_eye_box_max_x,271
right_eye_box_max_y,181
left_iris_center_x,291
left_iris_center_y,169
right_iris_center_x,251
right_iris_center_y,170
left_iris_box_min_x,286
left_iris_box_min_y,164
left_iris_box_max_x,296
left_iris_box_max_y,175
right_iris_box_min_x,245
right_iris_box_min_y,164
right_iris_box_max_x,258
right_iris_box_max_y,177
left_eye_position_x,291
left_eye_position_y,169
right_eye_position_x,252
right_eye_position_y,171
center_between_eyes_x,271
center_between_eyes_y,170
left_eye_state,Open
left_eye_ear,0.486
right_eye_state,Open
right_eye_ear,0.314
distance_cm_from_face,66.06
distance_cm_from_eye,68.23
chin_depth,66.86
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:08:17.664546
