Parameter,Value
dot_x,837
dot_y,822
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:04:05.146Z
group_id,capture-1757613845146-1757613845146
capture_method,html2canvas
face_detected,True
pitch,-0.351
yaw,-0.39
roll,0.175
face_min_position_x,194
face_min_position_y,108
face_max_position_x,314
face_max_position_y,252
left_eye_box_min_x,268
left_eye_box_min_y,161
left_eye_box_max_x,304
left_eye_box_max_y,182
right_eye_box_min_x,224
right_eye_box_min_y,168
right_eye_box_max_x,262
right_eye_box_max_y,186
left_iris_center_x,286
left_iris_center_y,171
right_iris_center_x,245
right_iris_center_y,176
left_iris_box_min_x,282
left_iris_box_min_y,166
left_iris_box_max_x,292
left_iris_box_max_y,177
right_iris_box_min_x,240
right_iris_box_min_y,171
right_iris_box_max_x,251
right_iris_box_max_y,182
left_eye_position_x,285
left_eye_position_y,171
right_eye_position_x,244
right_eye_position_y,177
center_between_eyes_x,264
center_between_eyes_y,174
left_eye_state,Open
left_eye_ear,0.278
right_eye_state,Open
right_eye_ear,0.265
distance_cm_from_face,60.53
distance_cm_from_eye,62.69
chin_depth,61.04
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:35:48.577251
