Parameter,Value
dot_x,1361
dot_y,102
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:50:57.664Z
group_id,capture-1757613057664-1757613057664
capture_method,html2canvas
face_detected,True
pitch,0.017
yaw,-0.523
roll,0.118
face_min_position_x,400
face_min_position_y,95
face_max_position_x,637
face_max_position_y,373
left_eye_box_min_x,566
left_eye_box_min_y,182
left_eye_box_max_x,609
left_eye_box_max_y,209
right_eye_box_min_x,484
right_eye_box_min_y,189
right_eye_box_max_x,543
right_eye_box_max_y,214
left_iris_center_x,589
left_iris_center_y,194
right_iris_center_x,518
right_iris_center_y,200
left_iris_box_min_x,582
left_iris_box_min_y,187
left_iris_box_max_x,596
left_iris_box_max_y,202
right_iris_box_min_x,509
right_iris_box_min_y,192
right_iris_box_max_x,527
right_iris_box_max_y,209
left_eye_position_x,587
left_eye_position_y,196
right_eye_position_x,515
right_eye_position_y,202
center_between_eyes_x,551
center_between_eyes_y,199
left_eye_state,Open
left_eye_ear,0.433
right_eye_state,Open
right_eye_ear,0.296
distance_cm_from_face,72.36
distance_cm_from_eye,74.495
chin_depth,73.5
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:35:48.379014
