Parameter,Value
dot_x,1291
dot_y,411
canvas_width,1444
canvas_height,933
window_width,1444
window_height,933
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-13T06:40:50.768Z
group_id,capture-1757745650768-1757745650768
capture_method,html2canvas
face_detected,True
pitch,0.054
yaw,-0.605
roll,-0.063
face_min_position_x,202
face_min_position_y,91
face_max_position_x,331
face_max_position_y,258
left_eye_box_min_x,292
left_eye_box_min_y,156
left_eye_box_max_x,322
left_eye_box_max_y,176
right_eye_box_min_x,247
right_eye_box_min_y,154
right_eye_box_max_x,286
right_eye_box_max_y,169
left_iris_center_x,308
left_iris_center_y,165
right_iris_center_x,269
right_iris_center_y,161
left_iris_box_min_x,304
left_iris_box_min_y,161
left_iris_box_max_x,313
left_iris_box_max_y,170
right_iris_box_min_x,264
right_iris_box_min_y,156
right_iris_box_max_x,275
right_iris_box_max_y,167
left_eye_position_x,307
left_eye_position_y,165
right_eye_position_x,267
right_eye_position_y,161
center_between_eyes_x,287
center_between_eyes_y,163
left_eye_state,Closed
left_eye_ear,0.21
right_eye_state,Closed
right_eye_ear,0.171
distance_cm_from_face,65.88
distance_cm_from_eye,67.38
chin_depth,66.76
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:35:48.886477
