name,value
dot_x,1461
dot_y,568
canvas_width,1589
canvas_height,724
window_width,1605
window_height,768
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-07-11T09:13:53.456Z
group_id,capture-1752225233074
