Parameter,Value
dot_x,1279
dot_y,740
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:25:00.555Z
group_id,capture-1744860300200
pitch,-0.11
yaw,0.06
roll,0
face_min_position_x,0
face_min_position_y,57
face_max_position_x,536
face_max_position_y,696
face_min_position_x,0
face_min_position_y,57
face_max_position_x,536
face_max_position_y,696
face_width,536
face_height,639
left_eye_position_x,357
left_eye_position_y,268
right_eye_position_x,152
right_eye_position_y,265
center_between_eyes_x,254
center_between_eyes_y,266
left_eye_box_min_x,298
left_eye_box_min_y,247
left_eye_box_max_x,417
left_eye_box_max_y,285
right_eye_box_min_x,98
right_eye_box_min_y,246
right_eye_box_max_x,207
right_eye_box_max_y,280
left_iris_center_x,354
left_iris_center_y,264
right_iris_center_x,153
right_iris_center_y,261
left_iris_min_x,333
left_iris_min_y,245
left_iris_max_x,376
left_iris_max_y,284
right_iris_min_x,132
right_iris_min_y,242
right_iris_max_x,174
right_iris_max_y,280
left_eye_state,Open
left_eye_ear,0.259
right_eye_state,Open
right_eye_ear,0.28
distance_cm_from_face,30
distance_cm_from_eye,33.42
chin_depth,31.22
posture,Looking Straight
gaze_direction,Looking Straight
