Parameter,Value
dot_x,449
dot_y,260
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:25.528Z
group_id,capture-1744860265166
pitch,0
yaw,-0.01
roll,0
face_min_position_x,1
face_min_position_y,58
face_max_position_x,540
face_max_position_y,696
left_eye_position_x,377
left_eye_position_y,271
right_eye_position_x,169
right_eye_position_y,267
center_between_eyes_x,273
center_between_eyes_y,269
left_eye_box_min_x,319
left_eye_box_min_y,247
left_eye_box_max_x,435
left_eye_box_max_y,290
right_eye_box_min_x,114
right_eye_box_min_y,244
right_eye_box_max_x,227
right_eye_box_max_y,284
left_iris_center_x,378
left_iris_center_y,267
right_iris_center_x,175
right_iris_center_y,263
left_iris_min_x,357
left_iris_min_y,248
left_iris_max_x,400
left_iris_max_y,288
right_iris_min_x,153
right_iris_min_y,243
right_iris_max_x,198
right_iris_max_y,284
left_eye_state,Open
left_eye_ear,0.307
right_eye_state,Open
right_eye_ear,0.308
distance_cm_from_face,30
distance_cm_from_eye,33.41
chin_depth,31.23
posture,Looking Straight
gaze_direction,Looking Straight
