Parameter,Value
dot_x,345
dot_y,695
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:24:05.191Z
group_id,capture-1757913845191-1757913845191
face_detected,True
pitch,-0.368
yaw,0.474
roll,-0.018
face_min_position_x,450
face_min_position_y,241
face_max_position_x,740
face_max_position_y,573
left_eye_box_min_x,565
left_eye_box_min_y,361
left_eye_box_max_x,642
left_eye_box_max_y,388
right_eye_box_min_x,480
right_eye_box_min_y,361
right_eye_box_max_x,530
right_eye_box_max_y,384
left_iris_center_x,603
left_iris_center_y,373
right_iris_center_x,505
right_iris_center_y,370
left_iris_box_min_x,591
left_iris_box_min_y,361
left_iris_box_max_x,616
left_iris_box_max_y,385
right_iris_box_min_x,495
right_iris_box_min_y,359
right_iris_box_max_x,517
right_iris_box_max_y,382
left_eye_position_x,601
left_eye_position_y,374
right_eye_position_x,505
right_eye_position_y,372
center_between_eyes_x,553
center_between_eyes_y,373
left_eye_state,Open
left_eye_ear,0.249
right_eye_state,Open
right_eye_ear,0.36
distance_cm_from_face,54.49
distance_cm_from_eye,55.85
chin_depth,55.23
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.951618
