Parameter,Value
dot_x,387
dot_y,540
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:15:48.143Z
group_id,capture-1757913348143-1757913348143
face_detected,True
pitch,-0.288
yaw,0.368
roll,-0.046
face_min_position_x,524
face_min_position_y,161
face_max_position_x,812
face_max_position_y,502
left_eye_box_min_x,652
left_eye_box_min_y,283
left_eye_box_max_x,725
left_eye_box_max_y,308
right_eye_box_min_x,556
right_eye_box_min_y,282
right_eye_box_max_x,612
right_eye_box_max_y,302
left_iris_center_x,683
left_iris_center_y,294
right_iris_center_x,581
right_iris_center_y,291
left_iris_box_min_x,672
left_iris_box_min_y,284
left_iris_box_max_x,695
left_iris_box_max_y,306
right_iris_box_min_x,571
right_iris_box_min_y,281
right_iris_box_max_x,592
right_iris_box_max_y,302
left_eye_position_x,687
left_eye_position_y,295
right_eye_position_x,584
right_eye_position_y,292
center_between_eyes_x,635
center_between_eyes_y,293
left_eye_state,Squinting
left_eye_ear,0.22
right_eye_state,Open
right_eye_ear,0.256
distance_cm_from_face,52.02
distance_cm_from_eye,53.275
chin_depth,52.83
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.725239
