Parameter,Value
dot_x,282
dot_y,802
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:00:59.009Z
group_id,capture-1757912459009-1757912459009
face_detected,True
pitch,-0.305
yaw,0.413
roll,-0.004
face_min_position_x,460
face_min_position_y,243
face_max_position_x,743
face_max_position_y,574
left_eye_box_min_x,575
left_eye_box_min_y,362
left_eye_box_max_x,652
left_eye_box_max_y,389
right_eye_box_min_x,485
right_eye_box_min_y,366
right_eye_box_max_x,539
right_eye_box_max_y,385
left_iris_center_x,614
left_iris_center_y,375
right_iris_center_x,511
right_iris_center_y,374
left_iris_box_min_x,602
left_iris_box_min_y,364
left_iris_box_max_x,626
left_iris_box_max_y,387
right_iris_box_min_x,501
right_iris_box_min_y,364
right_iris_box_max_x,523
right_iris_box_max_y,385
left_eye_position_x,612
left_eye_position_y,375
right_eye_position_x,512
right_eye_position_y,375
center_between_eyes_x,562
center_between_eyes_y,375
left_eye_state,Open
left_eye_ear,0.244
right_eye_state,Open
right_eye_ear,0.271
distance_cm_from_face,52.7
distance_cm_from_eye,53.965
chin_depth,53.46
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.495073
