Parameter,Value
dot_x,67
dot_y,294
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:21:04.942Z
group_id,capture-1757913664942-1757913664942
face_detected,True
pitch,-0.254
yaw,0.553
roll,-0.138
face_min_position_x,494
face_min_position_y,242
face_max_position_x,774
face_max_position_y,567
left_eye_box_min_x,604
left_eye_box_min_y,363
left_eye_box_max_x,679
left_eye_box_max_y,392
right_eye_box_min_x,526
right_eye_box_min_y,354
right_eye_box_max_x,576
right_eye_box_max_y,379
left_iris_center_x,639
left_iris_center_y,375
right_iris_center_x,546
right_iris_center_y,365
left_iris_box_min_x,628
left_iris_box_min_y,364
left_iris_box_max_x,651
left_iris_box_max_y,387
right_iris_box_min_x,536
right_iris_box_min_y,355
right_iris_box_max_x,556
right_iris_box_max_y,376
left_eye_position_x,639
left_eye_position_y,376
right_eye_position_x,550
right_eye_position_y,366
center_between_eyes_x,594
center_between_eyes_y,371
left_eye_state,Open
left_eye_ear,0.292
right_eye_state,Open
right_eye_ear,0.36
distance_cm_from_face,57.72
distance_cm_from_eye,58.975
chin_depth,58.55
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.877661
