Parameter,Value
dot_x,468
dot_y,706
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:28:18.147Z
group_id,capture-1757914098147-1757914098147
face_detected,True
pitch,-0.168
yaw,0.104
roll,-0.047
face_min_position_x,502
face_min_position_y,133
face_max_position_x,903
face_max_position_y,618
left_eye_box_min_x,727
left_eye_box_min_y,301
left_eye_box_max_x,818
left_eye_box_max_y,333
right_eye_box_min_x,573
right_eye_box_min_y,301
right_eye_box_max_x,655
right_eye_box_max_y,328
left_iris_center_x,769
left_iris_center_y,315
right_iris_center_x,613
right_iris_center_y,313
left_iris_box_min_x,752
left_iris_box_min_y,301
left_iris_box_max_x,786
left_iris_box_max_y,331
right_iris_box_min_x,598
right_iris_box_min_y,299
right_iris_box_max_x,630
right_iris_box_max_y,328
left_eye_position_x,772
left_eye_position_y,318
right_eye_position_x,613
right_eye_position_y,315
center_between_eyes_x,692
center_between_eyes_y,316
left_eye_state,Open
left_eye_ear,0.288
right_eye_state,Open
right_eye_ear,0.279
distance_cm_from_face,34.9
distance_cm_from_eye,36.155
chin_depth,35.73
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:55.026507
