Parameter,Value
dot_x,1416
dot_y,196
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-15T04:38:32.434Z
group_id,capture-1757911112434-1757911112434
capture_method,html2canvas
face_detected,True
pitch,-0.111
yaw,-0.098
roll,0.023
face_min_position_x,224
face_min_position_y,120
face_max_position_x,421
face_max_position_y,363
left_eye_box_min_x,343
left_eye_box_min_y,199
left_eye_box_max_x,393
left_eye_box_max_y,223
right_eye_box_min_x,267
right_eye_box_min_y,202
right_eye_box_max_x,317
right_eye_box_max_y,223
left_iris_center_x,366
left_iris_center_y,211
right_iris_center_x,292
right_iris_center_y,212
left_iris_box_min_x,357
left_iris_box_min_y,203
left_iris_box_max_x,375
left_iris_box_max_y,219
right_iris_box_min_x,283
right_iris_box_min_y,204
right_iris_box_max_x,302
right_iris_box_max_y,221
left_eye_position_x,368
left_eye_position_y,211
right_eye_position_x,291
right_eye_position_y,213
center_between_eyes_x,329
center_between_eyes_y,212
left_eye_state,Open
left_eye_ear,0.318
right_eye_state,Open
right_eye_ear,0.275
distance_cm_from_face,35.99
distance_cm_from_eye,37.255
chin_depth,36.69
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.344394
