Parameter,Value
dot_x,1555
dot_y,385
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T04:34:42.308Z
group_id,capture-1757910882308-1757910882308
capture_method,html2canvas
face_detected,True
pitch,-0.074
yaw,-0.112
roll,0.023
face_min_position_x,527
face_min_position_y,146
face_max_position_x,854
face_max_position_y,522
left_eye_box_min_x,730
left_eye_box_min_y,259
left_eye_box_max_x,803
left_eye_box_max_y,290
right_eye_box_min_x,603
right_eye_box_min_y,262
right_eye_box_max_x,679
right_eye_box_max_y,290
left_iris_center_x,768
left_iris_center_y,274
right_iris_center_x,646
right_iris_center_y,276
left_iris_box_min_x,755
left_iris_box_min_y,262
left_iris_box_max_x,782
left_iris_box_max_y,286
right_iris_box_min_x,633
right_iris_box_min_y,264
right_iris_box_max_x,660
right_iris_box_max_y,288
left_eye_position_x,767
left_eye_position_y,275
right_eye_position_x,641
right_eye_position_y,277
center_between_eyes_x,704
center_between_eyes_y,276
left_eye_state,Open
left_eye_ear,0.333
right_eye_state,Open
right_eye_ear,0.276
distance_cm_from_face,43.35
distance_cm_from_eye,44.61
chin_depth,44.28
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.284227
