Parameter,Value
dot_x,870
dot_y,538
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T04:54:32.088Z
group_id,capture-1757912072088-1757912072088
capture_method,html2canvas
face_detected,True
pitch,-0.208
yaw,0.202
roll,-0.046
face_min_position_x,563
face_min_position_y,219
face_max_position_x,770
face_max_position_y,475
left_eye_box_min_x,663
left_eye_box_min_y,309
left_eye_box_max_x,719
left_eye_box_max_y,334
right_eye_box_min_x,592
right_eye_box_min_y,309
right_eye_box_max_x,639
right_eye_box_max_y,329
left_iris_center_x,689
left_iris_center_y,320
right_iris_center_x,616
right_iris_center_y,317
left_iris_box_min_x,680
left_iris_box_min_y,312
left_iris_box_max_x,699
left_iris_box_max_y,329
right_iris_box_min_x,607
right_iris_box_min_y,309
right_iris_box_max_x,625
right_iris_box_max_y,326
left_eye_position_x,690
left_eye_position_y,321
right_eye_position_x,616
right_eye_position_y,319
center_between_eyes_x,653
center_between_eyes_y,320
left_eye_state,Open
left_eye_ear,0.304
right_eye_state,Open
right_eye_ear,0.28
distance_cm_from_face,71.32
distance_cm_from_eye,72.575
chin_depth,72.2
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.417493
