Parameter,Value
dot_x,1263
dot_y,370
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T05:32:24.631Z
group_id,capture-1757914344629-1757914344629
face_detected,True
pitch,-0.157
yaw,-0.139
roll,-0.011
face_min_position_x,528
face_min_position_y,145
face_max_position_x,883
face_max_position_y,580
left_eye_box_min_x,753
left_eye_box_min_y,292
left_eye_box_max_x,826
left_eye_box_max_y,322
right_eye_box_min_x,615
right_eye_box_min_y,292
right_eye_box_max_x,692
right_eye_box_max_y,318
left_iris_center_x,788
left_iris_center_y,305
right_iris_center_x,656
right_iris_center_y,304
left_iris_box_min_x,774
left_iris_box_min_y,292
left_iris_box_max_x,802
left_iris_box_max_y,319
right_iris_box_min_x,642
right_iris_box_min_y,290
right_iris_box_max_x,671
right_iris_box_max_y,318
left_eye_position_x,789
left_eye_position_y,307
right_eye_position_x,654
right_eye_position_y,306
center_between_eyes_x,721
center_between_eyes_y,306
left_eye_state,Open
left_eye_ear,0.326
right_eye_state,Open
right_eye_ear,0.263
distance_cm_from_face,40.93
distance_cm_from_eye,42.19
chin_depth,41.86
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:55.179086
