name,value
user_id,f084cf66-3b92-427d-8071-28f74288719c
dot_x,135
dot_y,353
canvas_width,1898
canvas_height,965
window_width,1898
window_height,965
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-08-20T08:08:24.347Z
group_id,capture-1755677304311-f084cf66-3b92-427d-8071-28f74288719c
