name,value
dot_x,813
dot_y,620
canvas_width,1712
canvas_height,2000
window_width,1728
window_height,1000
webcam_resolution_width,1920
webcam_resolution_height,1080
webcam_aspect_ratio,1.333
webcam_device_id,BF108CE77D714CC4DC722F14C9AB88A3FC808556
webcam_label,FaceTime HD Camera
webcam_aspectRatio,1.3333333333333333
webcam_backgroundBlur,false
webcam_frameRate,30
webcam_groupId,162E8A7EBA1F088281D58962592803E3C5C2F2E4
webcam_width_min,1
webcam_width_max,1920
webcam_height_min,1
webcam_height_max,1920
webcam_framerate_min,1
webcam_framerate_max,30
timestamp,2025-04-17T08:30:03.257Z
group_id,capture-1744878599211
