Parameter,Value
dot_x,1393
dot_y,759
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:04:11.789Z
group_id,capture-1757613851788-1757613851788
capture_method,html2canvas
face_detected,True
pitch,0.178
yaw,-0.511
roll,0.106
face_min_position_x,16
face_min_position_y,17
face_max_position_x,576
face_max_position_y,480
left_eye_box_min_x,411
left_eye_box_min_y,179
left_eye_box_max_x,500
left_eye_box_max_y,204
right_eye_box_min_x,204
right_eye_box_min_y,196
right_eye_box_max_x,334
right_eye_box_max_y,220
left_iris_center_x,463
left_iris_center_y,190
right_iris_center_x,277
right_iris_center_y,206
left_iris_box_min_x,446
left_iris_box_min_y,178
left_iris_box_max_x,480
left_iris_box_max_y,202
right_iris_box_min_x,257
right_iris_box_min_y,193
right_iris_box_max_x,298
right_iris_box_max_y,220
left_eye_position_x,457
left_eye_position_y,191
right_eye_position_x,272
right_eye_position_y,208
center_between_eyes_x,364
center_between_eyes_y,199
left_eye_state,Closed
left_eye_ear,0.196
right_eye_state,Closed
right_eye_ear,0.17
distance_cm_from_face,30.0
distance_cm_from_eye,32.64
chin_depth,31.31
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:53.970960
