Parameter,Value
dot_x,186
dot_y,102
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:50:48.922Z
group_id,capture-1757613048922-1757613048922
capture_method,html2canvas
face_detected,True
pitch,0.02
yaw,-0.446
roll,0.109
face_min_position_x,90
face_min_position_y,0
face_max_position_x,1005
face_max_position_y,720
left_eye_box_min_x,743
left_eye_box_min_y,238
left_eye_box_max_x,874
left_eye_box_max_y,282
right_eye_box_min_x,402
right_eye_box_min_y,262
right_eye_box_max_x,601
right_eye_box_max_y,304
left_iris_center_x,814
left_iris_center_y,258
right_iris_center_x,509
right_iris_center_y,280
left_iris_box_min_x,787
left_iris_box_min_y,240
left_iris_box_max_x,842
left_iris_box_max_y,278
right_iris_box_min_x,476
right_iris_box_min_y,258
right_iris_box_max_x,542
right_iris_box_max_y,303
left_eye_position_x,812
left_eye_position_y,261
right_eye_position_x,505
right_eye_position_y,285
center_between_eyes_x,658
center_between_eyes_y,273
left_eye_state,Open
left_eye_ear,0.284
right_eye_state,Squinting
right_eye_ear,0.228
distance_cm_from_face,30.0
distance_cm_from_eye,32.145
chin_depth,31.29
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:34.224720
