Parameter,Value
dot_x,702
dot_y,369
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:03:58.505Z
group_id,capture-1757613838504-1757613838504
capture_method,html2canvas
face_detected,True
pitch,0.144
yaw,-0.275
roll,0.037
face_min_position_x,135
face_min_position_y,69
face_max_position_x,474
face_max_position_y,449
left_eye_box_min_x,357
left_eye_box_min_y,185
left_eye_box_max_x,423
left_eye_box_max_y,213
right_eye_box_min_x,231
right_eye_box_min_y,192
right_eye_box_max_x,310
right_eye_box_max_y,216
left_iris_center_x,389
left_iris_center_y,198
right_iris_center_x,272
right_iris_center_y,203
left_iris_box_min_x,378
left_iris_box_min_y,188
left_iris_box_max_x,401
left_iris_box_max_y,210
right_iris_box_min_x,260
right_iris_box_min_y,192
right_iris_box_max_x,286
right_iris_box_max_y,215
left_eye_position_x,389
left_eye_position_y,200
right_eye_position_x,272
right_eye_position_y,204
center_between_eyes_x,330
center_between_eyes_y,202
left_eye_state,Open
left_eye_ear,0.268
right_eye_state,Squinting
right_eye_ear,0.222
distance_cm_from_face,30.0
distance_cm_from_eye,31.67
chin_depth,31.08
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:50.737462
