Parameter,Value
dot_x,837
dot_y,822
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:04:05.146Z
group_id,capture-1757613845146-1757613845146
capture_method,html2canvas
face_detected,True
pitch,-0.376
yaw,-0.315
roll,0.208
face_min_position_x,26
face_min_position_y,6
face_max_position_x,494
face_max_position_y,480
left_eye_box_min_x,340
left_eye_box_min_y,166
left_eye_box_max_x,426
left_eye_box_max_y,208
right_eye_box_min_x,167
right_eye_box_min_y,211
right_eye_box_max_x,276
right_eye_box_max_y,240
left_iris_center_x,386
left_iris_center_y,190
right_iris_center_x,225
right_iris_center_y,224
left_iris_box_min_x,372
left_iris_box_min_y,177
left_iris_box_max_x,401
left_iris_box_max_y,204
right_iris_box_min_x,209
right_iris_box_min_y,209
right_iris_box_max_x,242
right_iris_box_max_y,239
left_eye_position_x,383
left_eye_position_y,190
right_eye_position_x,224
right_eye_position_y,224
center_between_eyes_x,303
center_between_eyes_y,207
left_eye_state,Open
left_eye_ear,0.264
right_eye_state,Squinting
right_eye_ear,0.22
distance_cm_from_face,30.0
distance_cm_from_eye,32.3
chin_depth,30.99
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:52.090568
