Parameter,Value
dot_x,773
dot_y,102
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:50:53.293Z
group_id,capture-1757613053293-1757613053293
capture_method,html2canvas
face_detected,True
pitch,0.056
yaw,-0.474
roll,0.104
face_min_position_x,110
face_min_position_y,5
face_max_position_x,987
face_max_position_y,720
left_eye_box_min_x,741
left_eye_box_min_y,240
left_eye_box_max_x,862
left_eye_box_max_y,279
right_eye_box_min_x,413
right_eye_box_min_y,262
right_eye_box_max_x,603
right_eye_box_max_y,299
left_iris_center_x,809
left_iris_center_y,259
right_iris_center_x,514
right_iris_center_y,279
left_iris_box_min_x,784
left_iris_box_min_y,241
left_iris_box_max_x,835
left_iris_box_max_y,277
right_iris_box_min_x,483
right_iris_box_min_y,258
right_iris_box_max_x,545
right_iris_box_max_y,300
left_eye_position_x,805
left_eye_position_y,260
right_eye_position_x,513
right_eye_position_y,281
center_between_eyes_x,659
center_between_eyes_y,270
left_eye_state,Open
left_eye_ear,0.264
right_eye_state,Closed
right_eye_ear,0.205
distance_cm_from_face,30.0
distance_cm_from_eye,32.04
chin_depth,31.3
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:39.591695
