Parameter,Value
dot_x,434
dot_y,530
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:09:25.803Z
group_id,capture-1757614165803-1757614165803
capture_method,html2canvas
face_detected,True
pitch,-0.351
yaw,-0.076
roll,0.006
face_min_position_x,8
face_min_position_y,22
face_max_position_x,554
face_max_position_y,480
left_eye_box_min_x,340
left_eye_box_min_y,186
left_eye_box_max_x,454
left_eye_box_max_y,220
right_eye_box_min_x,133
right_eye_box_min_y,185
right_eye_box_max_x,250
right_eye_box_max_y,216
left_iris_center_x,395
left_iris_center_y,201
right_iris_center_x,188
right_iris_center_y,198
left_iris_box_min_x,374
left_iris_box_min_y,186
left_iris_box_max_x,418
left_iris_box_max_y,216
right_iris_box_min_x,166
right_iris_box_min_y,184
right_iris_box_max_x,211
right_iris_box_max_y,214
left_eye_position_x,396
left_eye_position_y,203
right_eye_position_x,191
right_eye_position_y,201
center_between_eyes_x,293
center_between_eyes_y,202
left_eye_state,Open
left_eye_ear,0.269
right_eye_state,Open
right_eye_ear,0.249
distance_cm_from_face,30.0
distance_cm_from_eye,32.875
chin_depth,31.03
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:59.107727
