Parameter,Value
dot_x,101
dot_y,181
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:09:12.501Z
group_id,capture-1757614152501-1757614152501
capture_method,html2canvas
face_detected,True
pitch,0.089
yaw,-0.597
roll,0.094
face_min_position_x,33
face_min_position_y,23
face_max_position_x,533
face_max_position_y,480
left_eye_box_min_x,393
left_eye_box_min_y,180
left_eye_box_max_x,469
left_eye_box_max_y,214
right_eye_box_min_x,209
right_eye_box_min_y,193
right_eye_box_max_x,328
right_eye_box_max_y,225
left_iris_center_x,428
left_iris_center_y,196
right_iris_center_x,259
right_iris_center_y,208
left_iris_box_min_x,410
left_iris_box_min_y,183
left_iris_box_max_x,446
left_iris_box_max_y,210
right_iris_box_min_x,239
right_iris_box_min_y,193
right_iris_box_max_x,280
right_iris_box_max_y,223
left_eye_position_x,433
left_eye_position_y,197
right_eye_position_x,270
right_eye_position_y,209
center_between_eyes_x,351
center_between_eyes_y,203
left_eye_state,Open
left_eye_ear,0.308
right_eye_state,Squinting
right_eye_ear,0.236
distance_cm_from_face,30.0
distance_cm_from_eye,32.305
chin_depth,31.21
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:55.731236
