name,value
dot_x,1263
dot_y,221
canvas_width,1330
canvas_height,615
window_width,1330
window_height,615
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-16T07:32:35.033Z
group_id,capture-1758007955033-1758007955033
