Parameter,Value
dot_x,274
dot_y,687
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T04:29:56.567Z
group_id,capture-1757910596567-1757910596567
capture_method,html2canvas
face_detected,True
pitch,-0.291
yaw,0.057
roll,-0.017
face_min_position_x,10
face_min_position_y,74
face_max_position_x,1330
face_max_position_y,1628
left_eye_box_min_x,782
left_eye_box_min_y,569
left_eye_box_max_x,1044
left_eye_box_max_y,639
right_eye_box_min_x,271
right_eye_box_min_y,557
right_eye_box_max_x,522
right_eye_box_max_y,625
left_iris_center_x,900
left_iris_center_y,598
right_iris_center_x,389
right_iris_center_y,587
left_iris_box_min_x,850
left_iris_box_min_y,554
left_iris_box_max_x,952
left_iris_box_max_y,644
right_iris_box_min_x,341
right_iris_box_min_y,543
right_iris_box_max_x,438
right_iris_box_max_y,632
left_eye_position_x,912
left_eye_position_y,608
right_eye_position_x,396
right_eye_position_y,595
center_between_eyes_x,654
center_between_eyes_y,601
left_eye_state,Open
left_eye_ear,0.289
right_eye_state,Open
right_eye_ear,0.277
distance_cm_from_face,30.0
distance_cm_from_eye,33.39
chin_depth,31.15
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:15.893360
