Parameter,Value
dot_x,1222
dot_y,295
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T03:24:13.064Z
group_id,capture-1757906653064-1757906653064
capture_method,html2canvas
face_detected,True
pitch,-0.443
yaw,0.192
roll,0.006
face_min_position_x,8
face_min_position_y,79
face_max_position_x,1124
face_max_position_y,1326
left_eye_box_min_x,586
left_eye_box_min_y,493
left_eye_box_max_x,811
left_eye_box_max_y,555
right_eye_box_min_x,188
right_eye_box_min_y,504
right_eye_box_max_x,379
right_eye_box_max_y,561
left_iris_center_x,688
left_iris_center_y,516
right_iris_center_x,288
right_iris_center_y,525
left_iris_box_min_x,647
left_iris_box_min_y,478
left_iris_box_max_x,730
left_iris_box_max_y,556
right_iris_box_min_x,250
right_iris_box_min_y,488
right_iris_box_max_x,328
right_iris_box_max_y,564
left_eye_position_x,693
left_eye_position_y,525
right_eye_position_x,285
right_eye_position_y,533
center_between_eyes_x,489
center_between_eyes_y,529
left_eye_state,Open
left_eye_ear,0.287
right_eye_state,Open
right_eye_ear,0.3
distance_cm_from_face,30.0
distance_cm_from_eye,33.25
chin_depth,30.99
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:07:52.682017
