Parameter,Value
dot_x,1555
dot_y,385
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T04:34:42.308Z
group_id,capture-1757910882308-1757910882308
capture_method,html2canvas
face_detected,True
pitch,-0.167
yaw,-0.124
roll,0.008
face_min_position_x,0
face_min_position_y,3
face_max_position_x,1308
face_max_position_y,1504
left_eye_box_min_x,840
left_eye_box_min_y,475
left_eye_box_max_x,1080
left_eye_box_max_y,550
right_eye_box_min_x,325
right_eye_box_min_y,480
right_eye_box_max_x,589
right_eye_box_max_y,554
left_iris_center_x,964
left_iris_center_y,511
right_iris_center_x,476
right_iris_center_y,515
left_iris_box_min_x,917
left_iris_box_min_y,468
left_iris_box_max_x,1011
left_iris_box_max_y,555
right_iris_box_min_x,427
right_iris_box_min_y,471
right_iris_box_max_x,525
right_iris_box_max_y,560
left_eye_position_x,961
left_eye_position_y,518
right_eye_position_x,459
right_eye_position_y,523
center_between_eyes_x,710
center_between_eyes_y,520
left_eye_state,Open
left_eye_ear,0.321
right_eye_state,Open
right_eye_ear,0.265
distance_cm_from_face,30.0
distance_cm_from_eye,33.395
chin_depth,31.28
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:36.724740
