Parameter,Value
dot_x,839
dot_y,410
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:18:43.459Z
group_id,capture-1757913523459-1757913523459
face_detected,True
pitch,-0.677
yaw,0.326
roll,-0.024
face_min_position_x,11
face_min_position_y,91
face_max_position_x,1136
face_max_position_y,1328
left_eye_box_min_x,540
left_eye_box_min_y,505
left_eye_box_max_x,789
left_eye_box_max_y,567
right_eye_box_min_x,168
right_eye_box_min_y,496
right_eye_box_max_x,358
right_eye_box_max_y,554
left_iris_center_x,646
left_iris_center_y,530
right_iris_center_x,241
right_iris_center_y,520
left_iris_box_min_x,607
left_iris_box_min_y,493
left_iris_box_max_x,687
left_iris_box_max_y,569
right_iris_box_min_x,207
right_iris_box_min_y,485
right_iris_box_max_x,276
right_iris_box_max_y,556
left_eye_position_x,659
left_eye_position_y,534
right_eye_position_x,261
right_eye_position_y,525
center_between_eyes_x,460
center_between_eyes_y,529
left_eye_state,Open
left_eye_ear,0.283
right_eye_state,Open
right_eye_ear,0.333
distance_cm_from_face,30.0
distance_cm_from_eye,33.205
chin_depth,30.93
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:09:25.516807
