Parameter,Value
dot_x,870
dot_y,538
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T04:54:32.088Z
group_id,capture-1757912072088-1757912072088
capture_method,html2canvas
face_detected,True
pitch,-0.445
yaw,0.216
roll,-0.018
face_min_position_x,0
face_min_position_y,77
face_max_position_x,828
face_max_position_y,1014
left_eye_box_min_x,424
left_eye_box_min_y,387
left_eye_box_max_x,601
left_eye_box_max_y,436
right_eye_box_min_x,138
right_eye_box_min_y,381
right_eye_box_max_x,289
right_eye_box_max_y,429
left_iris_center_x,509
left_iris_center_y,405
right_iris_center_x,213
right_iris_center_y,400
left_iris_box_min_x,478
left_iris_box_min_y,378
left_iris_box_max_x,542
left_iris_box_max_y,434
right_iris_box_min_x,184
right_iris_box_min_y,373
right_iris_box_max_x,243
right_iris_box_max_y,428
left_eye_position_x,509
left_eye_position_y,412
right_eye_position_x,214
right_eye_position_y,405
center_between_eyes_x,361
center_between_eyes_y,408
left_eye_state,Open
left_eye_ear,0.283
right_eye_state,Open
right_eye_ear,0.303
distance_cm_from_face,30.0
distance_cm_from_eye,33.25
chin_depth,31.01
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:45.071966
