Parameter,Value
dot_x,1416
dot_y,196
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-15T04:38:32.434Z
group_id,capture-1757911112434-1757911112434
capture_method,html2canvas
face_detected,True
pitch,-0.2
yaw,-0.09
roll,0.007
face_min_position_x,8
face_min_position_y,61
face_max_position_x,788
face_max_position_y,972
left_eye_box_min_x,500
left_eye_box_min_y,342
left_eye_box_max_x,653
left_eye_box_max_y,397
right_eye_box_min_x,189
right_eye_box_min_y,346
right_eye_box_max_x,353
right_eye_box_max_y,399
left_iris_center_x,570
left_iris_center_y,369
right_iris_center_x,273
right_iris_center_y,372
left_iris_box_min_x,540
left_iris_box_min_y,342
left_iris_box_max_x,601
left_iris_box_max_y,398
right_iris_box_min_x,242
right_iris_box_min_y,345
right_iris_box_max_x,304
right_iris_box_max_y,401
left_eye_position_x,578
left_eye_position_y,372
right_eye_position_x,270
right_eye_position_y,376
center_between_eyes_x,424
center_between_eyes_y,374
left_eye_state,Open
left_eye_ear,0.328
right_eye_state,Open
right_eye_ear,0.301
distance_cm_from_face,30.0
distance_cm_from_eye,33.425
chin_depth,31.16
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:40.770791
