Parameter,Value
dot_x,345
dot_y,695
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:24:05.191Z
group_id,capture-1757913845191-1757913845191
face_detected,True
pitch,-0.736
yaw,0.473
roll,-0.01
face_min_position_x,0
face_min_position_y,75
face_max_position_x,1160
face_max_position_y,1328
left_eye_box_min_x,482
left_eye_box_min_y,503
left_eye_box_max_x,750
left_eye_box_max_y,562
right_eye_box_min_x,129
right_eye_box_min_y,504
right_eye_box_max_x,300
right_eye_box_max_y,554
left_iris_center_x,598
left_iris_center_y,533
right_iris_center_x,204
right_iris_center_y,525
left_iris_box_min_x,559
left_iris_box_min_y,495
left_iris_box_max_x,639
left_iris_box_max_y,572
right_iris_box_min_x,173
right_iris_box_min_y,492
right_iris_box_max_x,236
right_iris_box_max_y,560
left_eye_position_x,605
left_eye_position_y,532
right_eye_position_x,215
right_eye_position_y,529
center_between_eyes_x,410
center_between_eyes_y,530
left_eye_state,Closed
left_eye_ear,0.203
right_eye_state,Open
right_eye_ear,0.296
distance_cm_from_face,30.0
distance_cm_from_eye,33.14
chin_depth,30.92
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:09:42.393337
