Parameter,Value
dot_x,840
dot_y,383
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T03:48:07.568Z
group_id,capture-1757908087568-1757908087568
capture_method,html2canvas
face_detected,True
pitch,-0.54
yaw,0.245
roll,0.005
face_min_position_x,23
face_min_position_y,99
face_max_position_x,1049
face_max_position_y,1226
left_eye_box_min_x,530
left_eye_box_min_y,479
left_eye_box_max_x,741
left_eye_box_max_y,526
right_eye_box_min_x,180
right_eye_box_min_y,485
right_eye_box_max_x,351
right_eye_box_max_y,529
left_iris_center_x,623
left_iris_center_y,496
right_iris_center_x,266
right_iris_center_y,501
left_iris_box_min_x,588
left_iris_box_min_y,464
left_iris_box_max_x,660
left_iris_box_max_y,530
right_iris_box_min_x,234
right_iris_box_min_y,470
right_iris_box_max_x,300
right_iris_box_max_y,534
left_eye_position_x,630
left_eye_position_y,501
right_eye_position_x,267
right_eye_position_y,506
center_between_eyes_x,448
center_between_eyes_y,503
left_eye_state,Open
left_eye_ear,0.254
right_eye_state,Open
right_eye_ear,0.275
distance_cm_from_face,30.0
distance_cm_from_eye,33.11
chin_depth,30.94
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:07:59.823449
