Parameter,Value
dot_x,1263
dot_y,370
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T05:32:24.631Z
group_id,capture-1757914344629-1757914344629
face_detected,True
pitch,-0.344
yaw,-0.116
roll,-0.005
face_min_position_x,0
face_min_position_y,73
face_max_position_x,1420
face_max_position_y,1737
left_eye_box_min_x,914
left_eye_box_min_y,612
left_eye_box_max_x,1170
left_eye_box_max_y,691
right_eye_box_min_x,360
right_eye_box_min_y,606
right_eye_box_max_x,643
right_eye_box_max_y,683
left_iris_center_x,1038
left_iris_center_y,648
right_iris_center_x,516
right_iris_center_y,642
left_iris_box_min_x,987
left_iris_box_min_y,601
left_iris_box_max_x,1089
left_iris_box_max_y,696
right_iris_box_min_x,464
right_iris_box_min_y,595
right_iris_box_max_x,569
right_iris_box_max_y,691
left_eye_position_x,1041
left_eye_position_y,655
right_eye_position_x,505
right_eye_position_y,648
center_between_eyes_x,773
center_between_eyes_y,651
left_eye_state,Open
left_eye_ear,0.322
right_eye_state,Open
right_eye_ear,0.277
distance_cm_from_face,30.0
distance_cm_from_eye,33.365
chin_depth,31.11
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:10:30.811342
