Parameter,Value
dot_x,387
dot_y,540
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:15:48.143Z
group_id,capture-1757913348143-1757913348143
face_detected,True
pitch,-0.596
yaw,0.396
roll,-0.023
face_min_position_x,9
face_min_position_y,75
face_max_position_x,1152
face_max_position_y,1364
left_eye_box_min_x,539
left_eye_box_min_y,515
left_eye_box_max_x,790
left_eye_box_max_y,568
right_eye_box_min_x,159
right_eye_box_min_y,503
right_eye_box_max_x,337
right_eye_box_max_y,550
left_iris_center_x,639
left_iris_center_y,537
right_iris_center_x,231
right_iris_center_y,522
left_iris_box_min_x,601
left_iris_box_min_y,501
left_iris_box_max_x,678
left_iris_box_max_y,574
right_iris_box_min_x,200
right_iris_box_min_y,489
right_iris_box_max_x,263
right_iris_box_max_y,556
left_eye_position_x,656
left_eye_position_y,538
right_eye_position_x,247
right_eye_position_y,526
center_between_eyes_x,451
center_between_eyes_y,532
left_eye_state,Squinting
left_eye_ear,0.238
right_eye_state,Open
right_eye_ear,0.291
distance_cm_from_face,30.0
distance_cm_from_eye,33.215
chin_depth,31.0
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:09:17.036281
