Parameter,Value
dot_x,468
dot_y,706
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:28:18.147Z
group_id,capture-1757914098147-1757914098147
face_detected,True
pitch,-0.359
yaw,0.096
roll,-0.025
face_min_position_x,4
face_min_position_y,62
face_max_position_x,1604
face_max_position_y,1940
left_eye_box_min_x,923
left_eye_box_min_y,702
left_eye_box_max_x,1256
left_eye_box_max_y,785
right_eye_box_min_x,296
right_eye_box_min_y,691
right_eye_box_max_x,605
right_eye_box_max_y,763
left_iris_center_x,1075
left_iris_center_y,738
right_iris_center_x,446
right_iris_center_y,723
left_iris_box_min_x,1013
left_iris_box_min_y,684
left_iris_box_max_x,1139
left_iris_box_max_y,794
right_iris_box_min_x,387
right_iris_box_min_y,670
right_iris_box_max_x,506
right_iris_box_max_y,777
left_eye_position_x,1085
left_eye_position_y,746
right_eye_position_x,453
right_eye_position_y,730
center_between_eyes_x,769
center_between_eyes_y,738
left_eye_state,Open
left_eye_ear,0.28
right_eye_state,Open
right_eye_ear,0.259
distance_cm_from_face,30.0
distance_cm_from_eye,33.54
chin_depth,31.11
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:10:01.617427
