Parameter,Value
dot_x,730
dot_y,557
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,0
webcam_resolution_height_1,0
timestamp,2025-09-15T05:28:56.824Z
group_id,capture-1757914136824-1757914136824
face_detected,True
pitch,-0.59
yaw,0.031
roll,-0.013
face_min_position_x,0
face_min_position_y,65
face_max_position_x,1546
face_max_position_y,1840
left_eye_box_min_x,888
left_eye_box_min_y,660
left_eye_box_max_x,1196
left_eye_box_max_y,756
right_eye_box_min_x,306
right_eye_box_min_y,661
right_eye_box_max_x,607
right_eye_box_max_y,748
left_iris_center_x,1029
left_iris_center_y,699
right_iris_center_x,464
right_iris_center_y,699
left_iris_box_min_x,970
left_iris_box_min_y,644
left_iris_box_max_x,1090
left_iris_box_max_y,755
right_iris_box_min_x,406
right_iris_box_min_y,645
right_iris_box_max_x,523
right_iris_box_max_y,755
left_eye_position_x,1038
left_eye_position_y,710
right_eye_position_x,460
right_eye_position_y,707
center_between_eyes_x,749
center_between_eyes_y,708
left_eye_state,Open
left_eye_ear,0.338
right_eye_state,Open
right_eye_ear,0.301
distance_cm_from_face,30.0
distance_cm_from_eye,33.39
chin_depth,31.0
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:10:17.226497
