Parameter,Value
dot_x,1232
dot_y,245
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:06:14.550Z
group_id,capture-1757912774550-1757912774550
face_detected,True
pitch,-0.562
yaw,0.297
roll,-0.012
face_min_position_x,0
face_min_position_y,67
face_max_position_x,1184
face_max_position_y,1414
left_eye_box_min_x,580
left_eye_box_min_y,522
left_eye_box_max_x,839
left_eye_box_max_y,586
right_eye_box_min_x,172
right_eye_box_min_y,513
right_eye_box_max_x,365
right_eye_box_max_y,576
left_iris_center_x,697
left_iris_center_y,546
right_iris_center_x,269
right_iris_center_y,538
left_iris_box_min_x,654
left_iris_box_min_y,506
left_iris_box_max_x,742
left_iris_box_max_y,588
right_iris_box_min_x,230
right_iris_box_min_y,499
right_iris_box_max_x,310
right_iris_box_max_y,578
left_eye_position_x,703
left_eye_position_y,553
right_eye_position_x,269
right_eye_position_y,546
center_between_eyes_x,486
center_between_eyes_y,549
left_eye_state,Open
left_eye_ear,0.275
right_eye_state,Open
right_eye_ear,0.341
distance_cm_from_face,30.0
distance_cm_from_eye,33.31
chin_depth,30.97
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:09:03.238807
