Parameter,Value
dot_x,282
dot_y,802
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:00:59.009Z
group_id,capture-1757912459009-1757912459009
face_detected,True
pitch,-0.602
yaw,0.462
roll,-0.008
face_min_position_x,7
face_min_position_y,77
face_max_position_x,1132
face_max_position_y,1324
left_eye_box_min_x,487
left_eye_box_min_y,506
left_eye_box_max_x,742
left_eye_box_max_y,557
right_eye_box_min_x,133
right_eye_box_min_y,509
right_eye_box_max_x,304
right_eye_box_max_y,550
left_iris_center_x,610
left_iris_center_y,527
right_iris_center_x,211
right_iris_center_y,522
left_iris_box_min_x,571
left_iris_box_min_y,490
left_iris_box_max_x,651
left_iris_box_max_y,566
right_iris_box_min_x,178
right_iris_box_min_y,488
right_iris_box_max_x,245
right_iris_box_max_y,557
left_eye_position_x,606
left_eye_position_y,531
right_eye_position_x,218
right_eye_position_y,529
center_between_eyes_x,412
center_between_eyes_y,530
left_eye_state,Closed
left_eye_ear,0.208
right_eye_state,Open
right_eye_ear,0.267
distance_cm_from_face,30.0
distance_cm_from_eye,33.155
chin_depth,30.98
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:53.538836
