Parameter,Value
dot_x,704
dot_y,226
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-15T04:30:24.309Z
group_id,capture-1757910624309-1757910624309
capture_method,html2canvas
face_detected,True
pitch,-0.088
yaw,-0.022
roll,-0.007
face_min_position_x,5
face_min_position_y,36
face_max_position_x,1260
face_max_position_y,1508
left_eye_box_min_x,767
left_eye_box_min_y,484
left_eye_box_max_x,1010
left_eye_box_max_y,558
right_eye_box_min_x,282
right_eye_box_min_y,477
right_eye_box_max_x,529
right_eye_box_max_y,550
left_iris_center_x,876
left_iris_center_y,518
right_iris_center_x,409
right_iris_center_y,512
left_iris_box_min_x,829
left_iris_box_min_y,476
left_iris_box_max_x,924
left_iris_box_max_y,562
right_iris_box_min_x,362
right_iris_box_min_y,469
right_iris_box_max_x,457
right_iris_box_max_y,556
left_eye_position_x,889
left_eye_position_y,527
right_eye_position_x,405
right_eye_position_y,520
center_between_eyes_x,647
center_between_eyes_y,523
left_eye_state,Open
left_eye_ear,0.29
right_eye_state,Open
right_eye_ear,0.274
distance_cm_from_face,30.0
distance_cm_from_eye,33.4
chin_depth,31.29
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:26.476135
