Parameter,Value
dot_x,1005
dot_y,860
canvas_width,1677
canvas_height,933
window_width,1677
window_height,933
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-15T04:20:26.807Z
group_id,capture-1757910026807-1757910026807
capture_method,html2canvas
face_detected,True
pitch,-0.332
yaw,0.017
roll,-0.001
face_min_position_x,0
face_min_position_y,57
face_max_position_x,740
face_max_position_y,932
left_eye_box_min_x,442
left_eye_box_min_y,344
left_eye_box_max_x,595
left_eye_box_max_y,391
right_eye_box_min_x,153
right_eye_box_min_y,348
right_eye_box_max_x,301
right_eye_box_max_y,392
left_iris_center_x,516
left_iris_center_y,366
right_iris_center_x,230
right_iris_center_y,368
left_iris_box_min_x,487
left_iris_box_min_y,340
left_iris_box_max_x,546
left_iris_box_max_y,393
right_iris_box_min_x,202
right_iris_box_min_y,342
right_iris_box_max_x,259
right_iris_box_max_y,395
left_eye_position_x,518
left_eye_position_y,369
right_eye_position_x,227
right_eye_position_y,371
center_between_eyes_x,372
center_between_eyes_y,370
left_eye_state,Open
left_eye_ear,0.289
right_eye_state,Open
right_eye_ear,0.265
distance_cm_from_face,30.0
distance_cm_from_eye,33.47
chin_depth,31.13
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:08:03.557520
