Parameter,Value
dot_x,1124
dot_y,653
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:32:53.133Z
group_id,capture-1757914373133-1757914373133
face_detected,True
pitch,-0.403
yaw,-0.046
roll,-0.013
face_min_position_x,2
face_min_position_y,29
face_max_position_x,1020
face_max_position_y,1216
left_eye_box_min_x,624
left_eye_box_min_y,414
left_eye_box_max_x,820
left_eye_box_max_y,471
right_eye_box_min_x,243
right_eye_box_min_y,411
right_eye_box_max_x,442
right_eye_box_max_y,463
left_iris_center_x,713
left_iris_center_y,438
right_iris_center_x,353
right_iris_center_y,434
left_iris_box_min_x,676
left_iris_box_min_y,404
left_iris_box_max_x,751
left_iris_box_max_y,473
right_iris_box_min_x,316
right_iris_box_min_y,400
right_iris_box_max_x,390
right_iris_box_max_y,469
left_eye_position_x,721
left_eye_position_y,444
right_eye_position_x,345
right_eye_position_y,439
center_between_eyes_x,533
center_between_eyes_y,441
left_eye_state,Open
left_eye_ear,0.298
right_eye_state,Open
right_eye_ear,0.254
distance_cm_from_face,30.0
distance_cm_from_eye,33.31
chin_depth,31.13
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:10:37.196545
