Parameter,Value
dot_x,655
dot_y,266
canvas_width,1661
canvas_height,813
window_width,1677
window_height,933
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:30:59.464Z
group_id,capture-1758000658880
face_detected,True
pitch,-0.382
yaw,0.062
roll,0.122
face_min_position_x,15
face_min_position_y,0
face_max_position_x,635
face_max_position_y,480
left_eye_box_min_x,353
left_eye_box_min_y,157
left_eye_box_max_x,480
left_eye_box_max_y,199
right_eye_box_min_x,130
right_eye_box_min_y,192
right_eye_box_max_x,246
right_eye_box_max_y,227
left_iris_center_x,415
left_iris_center_y,173
right_iris_center_x,190
right_iris_center_y,206
left_iris_box_min_x,392
left_iris_box_min_y,158
left_iris_box_max_x,440
left_iris_box_max_y,189
right_iris_box_min_x,166
right_iris_box_min_y,190
right_iris_box_max_x,214
right_iris_box_max_y,222
left_eye_position_x,416
left_eye_position_y,177
right_eye_position_x,187
right_eye_position_y,209
center_between_eyes_x,301
center_between_eyes_y,193
left_eye_state,Squinting
left_eye_ear,0.238
right_eye_state,Open
right_eye_ear,0.279
distance_cm_from_face,30.0
distance_cm_from_eye,33.15
chin_depth,31.12
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T07:26:35.045362
