Parameter,Value
dot_x,1064
dot_y,84
canvas_width,1621
canvas_height,726
window_width,1637
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:34:12.286Z
group_id,capture-1758000851705
face_detected,True
pitch,-0.15
yaw,0.177
roll,0.117
face_min_position_x,22
face_min_position_y,0
face_max_position_x,614
face_max_position_y,480
left_eye_box_min_x,332
left_eye_box_min_y,157
left_eye_box_max_x,453
left_eye_box_max_y,193
right_eye_box_min_x,122
right_eye_box_min_y,186
right_eye_box_max_x,230
right_eye_box_max_y,215
left_iris_center_x,389
left_iris_center_y,171
right_iris_center_x,176
right_iris_center_y,198
left_iris_box_min_x,368
left_iris_box_min_y,157
left_iris_box_max_x,412
left_iris_box_max_y,187
right_iris_box_min_x,154
right_iris_box_min_y,183
right_iris_box_max_x,198
right_iris_box_max_y,213
left_eye_position_x,391
left_eye_position_y,174
right_eye_position_x,175
right_eye_position_y,201
center_between_eyes_x,283
center_between_eyes_y,187
left_eye_state,Squinting
left_eye_ear,0.218
right_eye_state,Squinting
right_eye_ear,0.231
distance_cm_from_face,30.0
distance_cm_from_eye,32.97
chin_depth,31.24
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T07:26:37.308253
