Parameter,Value
dot_x,726
dot_y,590
canvas_width,1621
canvas_height,726
window_width,1637
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:37:54.191Z
group_id,capture-1758001073626
face_detected,True
pitch,-0.38
yaw,0.069
roll,0.133
face_min_position_x,20
face_min_position_y,0
face_max_position_x,635
face_max_position_y,480
left_eye_box_min_x,350
left_eye_box_min_y,156
left_eye_box_max_x,476
left_eye_box_max_y,197
right_eye_box_min_x,132
right_eye_box_min_y,193
right_eye_box_max_x,246
right_eye_box_max_y,226
left_iris_center_x,410
left_iris_center_y,173
right_iris_center_x,189
right_iris_center_y,206
left_iris_box_min_x,387
left_iris_box_min_y,158
left_iris_box_max_x,434
left_iris_box_max_y,189
right_iris_box_min_x,166
right_iris_box_min_y,190
right_iris_box_max_x,212
right_iris_box_max_y,222
left_eye_position_x,412
left_eye_position_y,176
right_eye_position_x,188
right_eye_position_y,209
center_between_eyes_x,300
center_between_eyes_y,192
left_eye_state,Squinting
left_eye_ear,0.233
right_eye_state,Open
right_eye_ear,0.27
distance_cm_from_face,30.0
distance_cm_from_eye,33.095
chin_depth,31.14
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T07:26:42.318755
