name,value
dot_x,1244
dot_y,335
canvas_width,1607
canvas_height,933
window_width,1607
window_height,933
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-10T14:28:40.046Z
group_id,capture-1757514520046-1757514520046
capture_method,html2canvas
