name,value
dot_x,760
dot_y,605
canvas_width,1677
canvas_height,909
window_width,1677
window_height,909
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-10T09:39:30.137Z
group_id,capture-1757497169925-pb0e4kmwh
capture_method,html2canvas_enhanced
