name,value
dot_x,1361
dot_y,102
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:50:57.664Z
group_id,capture-1757613057664-1757613057664
capture_method,html2canvas
