name,value
dot_x,264
dot_y,75
canvas_width,300
canvas_height,150
window_width,1688
window_height,858
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-07-10T17:40:15.326Z
group_id,capture-1752169214980
